"SC_ID","et"
1,723
2,775
3,860
4,861
5,769
6,941
7,796
8,898
9,898
10,898
11,770
12,700
13,638
14,681
15,678
16,703
17,638
18,604
19,647
20,556
21,580
22,586
23,572
24,597
25,543
26,523
27,545
28,545
29,525
30,501
31,564
32,543
33,532
34,482
35,570
36,550
37,551
38,552
39,531
40,491
41,541
42,566
43,690
44,549
45,567
46,540
47,527
48,740
49,704
50,603
51,576
52,557
53,471
54,490
55,463
56,515
57,504
58,517
59,531
60,531
61,544
62,519
63,551
64,518
65,525
66,506
67,591
68,602
69,604
70,552
71,585
72,564
73,745
74,786
75,1135
76,546
77,570
78,826
79,820
80,833
81,732
82,800
83,842
84,716
85,812
86,607
87,603
88,628
89,559
90,564
91,540
92,547
93,547
94,528
95,595
96,576
97,546
98,540
99,748
100,827
101,820
102,808
103,821
104,545
105,555
106,524
107,513
108,700
109,634
110,758
111,518
112,504
113,528
114,506
115,602
116,597
117,568
118,696
119,559
120,530
121,526
122,532
123,552
124,570
