"SC_ID","rh"
1,337
2,352
3,394
4,389
5,347
6,418
7,359
8,402
9,402
10,402
11,349
12,317
13,289
14,308
15,306
16,318
17,289
18,273
19,292
20,253
21,263
22,266
23,261
24,282
25,264
26,250
27,249
28,249
29,241
30,244
31,258
32,257
33,252
34,234
35,268
36,259
37,257
38,260
39,252
40,237
41,261
42,272
43,329
44,263
45,260
46,251
47,247
48,352
49,332
50,284
51,268
52,259
53,218
54,226
55,214
56,237
57,232
58,240
59,245
60,245
61,250
62,245
63,259
64,246
65,254
66,247
67,278
68,285
69,286
70,263
71,273
72,273
73,353
74,370
75,527
76,250
77,263
78,376
79,373
80,380
81,333
82,364
83,379
84,324
85,365
86,274
87,273
88,291
89,256
90,258
91,247
92,251
93,257
94,252
95,280
96,274
97,250
98,258
99,356
100,375
101,370
102,372
103,379
104,250
105,254
106,248
107,244
108,334
109,304
110,359
111,247
112,241
113,250
114,242
115,289
116,288
117,266
118,329
119,256
120,257
121,256
122,258
123,263
124,274
